"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"セシル・ローズ","セシル・ローズ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","セシル・ローズは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"デイヴィッド・リヴィングストン","デイヴィッド・リヴィングストン","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","デイヴィッド・リヴィングストンは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"ヘンリー・モートン・スタンリー","ヘンリー・モートン・スタンリー","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ヘンリー・モートン・スタンリーは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"レオポルド2世","レオポルド2世","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","レオポルド2世は19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"メネリク2世","メネリク2世","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","メネリク2世は19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"テオドロス2世","テオドロス2世","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","テオドロス2世は19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"サモリ・トゥーレ","サモリ・トゥーレ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","サモリ・トゥーレは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"ムハンマド・アフマド","ムハンマド・アフマド","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ムハンマド・アフマドは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"ジャマールッディーン・アフガーニー","ジャマールッディーン・アフガーニー","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ジャマールッディーン・アフガーニーは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"ムハンマド・アブドゥフ","ムハンマド・アブドゥフ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ムハンマド・アブドゥフは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"サイイド・アフマド・ハーン","サイイド・アフマド・ハーン","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","サイイド・アフマド・ハーンは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"ラーマクリシュナ","ラーマクリシュナ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ラーマクリシュナは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
"ヴィヴェーカーナンダ","ヴィヴェーカーナンダ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ヴィヴェーカーナンダは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","図鑑"
